gene_id,gene_name,NCBI_Entrez_id,ICGC_0492,ICGC_0491,ICGC_0459,ICGC_0443,ICGC_0498,ICGC_0500,ICGC_0497,ICGC_0501,ICGC_0452,ICGC_0447,ICGC_0441,ICGC_0440,ICGC_0437,ICGC_0438,ICGC_0435,ICGC_0436,ICGC_0434,ICGC_0432,ICGC_0428,ICGC_0425,ICGC_0427
ENSG00000204248,COL11A2,1302,16,31,53,3,0,24,8,17,13,18,8,36,56,4,11,9,10,7,18,7,8
ENSG00000204252,HLA-DOA,3111,150,180,202,20,33,267,186,694,228,191,42,231,264,292,329,2364,289,109,118,92,68
ENSG00000204253,HNRNPCP2,NA,0,0,4,0,0,0,0,1,0,0,0,6,2,3,0,2,0,1,1,0,0
ENSG00000204256,BRD2,6046,3575,2204,5160,2211,2967,6177,3001,4602,803,3520,5996,5072,4947,3446,4954,6448,4262,2597,3900,3069,6736
ENSG00000204257,HLA-DMA,3108,215,225,290,26,71,222,149,489,215,168,254,190,262,189,278,1623,411,98,158,183,79
ENSG00000204261,TAPSAR1,100507463,67,85,55,20,45,65,67,206,76,91,51,97,42,145,141,298,167,101,51,81,116
ENSG00000204262,COL5A2,1290,851,2995,1521,344,1193,1293,1522,16755,918,809,421,1070,2504,2863,6090,14150,1166,2165,3996,1361,771
ENSG00000204264,PSMB8,5696,255,160,279,89,292,326,305,644,96,277,113,578,190,683,571,1278,326,370,170,200,625
ENSG00000204267,TAP2,6891,435,290,313,175,321,440,375,574,161,397,430,382,381,706,406,1785,279,451,262,256,531
ENSG00000204271,SPIN3,169981,135,49,131,89,180,285,274,220,42,208,305,249,278,165,157,429,422,226,396,146,271
ENSG00000204272,RP11-622K12.1,550643,884,138,551,335,1317,1148,1291,1328,78,817,1457,1433,610,2107,914,2301,516,857,794,683,2122
ENSG00000204277,RP11-219G17.4,100996291,59,78,55,18,22,136,19,14,178,170,20,19,672,40,31,39,255,47,822,164,13
ENSG00000204278,TMEM235,283999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000204279,PAGE3,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204282,TNRC6C-AS1,100131096,24,49,38,13,23,58,17,38,102,64,27,25,241,24,36,77,123,12,144,44,16
ENSG00000204283,FLJ45079,NA,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,0
ENSG00000204287,HLA-DRA,3122,2902,2461,2690,506,941,3204,3298,10344,1839,2372,778,3305,1925,3426,5424,31456,3748,2380,1011,1190,1241
ENSG00000204290,BTNL2,56244,9,9,10,2,8,31,3,2,27,49,4,3,117,9,13,7,45,6,86,32,3
ENSG00000204291,COL15A1,1306,527,3370,1939,635,433,1764,556,3949,833,906,216,759,2611,2485,2534,5207,1725,2187,487,1703,493
ENSG00000204301,NOTCH4,4855,673,998,908,187,432,653,258,1530,360,623,597,326,2755,424,1757,959,369,932,1076,550,446
ENSG00000204304,PBX2,5089,1085,764,1150,690,881,2171,700,1397,245,1285,1555,1528,1315,1040,763,1269,1063,673,910,909,1816
ENSG00000204305,AGER,177,38,80,39,9,13,85,10,52,35,153,28,29,84,28,25,11,41,27,91,45,19
ENSG00000204308,RNF5,6048,268,103,295,201,153,491,270,546,64,256,515,481,296,321,374,606,220,213,234,230,968
ENSG00000204310,AGPAT1,10554,837,436,893,743,976,2341,910,1259,146,1479,2688,1150,1221,1447,818,1850,1008,851,917,938,2711
ENSG00000204311,DFNB59,494513,24,21,48,14,6,66,26,43,10,50,124,55,51,33,18,54,32,14,22,16,55
ENSG00000204314,PRRT1,100507547;80863,136,77,218,18,71,52,87,57,36,146,197,79,207,172,34,102,153,52,93,83,127
ENSG00000204315,FKBPL,63943,111,14,82,89,33,81,90,95,9,47,207,108,67,93,57,138,37,54,59,40,116
ENSG00000204316,MRPL38,64978,712,218,329,488,764,769,725,973,131,822,1628,966,1029,1221,486,1435,728,538,1172,350,1339
ENSG00000204323,SMIM5,643008,276,36,8,42,571,197,60,29,90,123,3,50,444,93,43,310,493,237,659,110,28
ENSG00000204334,ERICH2,285141,2,1,8,4,6,8,13,33,3,7,4,47,2,11,24,31,8,19,12,3,51
ENSG00000204335,SP5,389058,3,2,6,0,5,9,7,280,2,3,0,24,10,5,27,15,1,44,8,11,24
ENSG00000204338,CYP21A1P,1590,3,2,0,2,0,14,2,14,0,9,4,0,20,4,9,2,0,24,8,9,6
ENSG00000204343,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204344,STK19,8859,177,125,283,144,132,405,193,259,59,256,687,340,290,206,234,297,245,178,304,210,397
ENSG00000204345,CD300LD,100131439,3,2,1,1,0,0,0,1,2,2,0,3,20,0,0,7,4,0,15,12,1
ENSG00000204347,BTBD17,388419,121,13,0,0,108,55,4,30,13,155,0,78,39,63,0,51,25,29,52,18,14
ENSG00000204348,DXO,1797,205,229,373,146,259,329,146,226,85,305,598,411,559,327,306,129,272,132,720,240,863
ENSG00000204351,SKIV2L,6499,752,581,1051,514,454,1580,772,1004,193,875,1610,1148,1249,750,683,1200,864,592,980,427,1475
ENSG00000204352,C9orf129,445577,1,0,0,0,0,0,1,1,3,0,0,0,3,1,0,5,0,1,0,0,0
ENSG00000204356,NELFE,100302242;7936,922,253,676,391,514,938,831,924,115,584,1802,1185,863,727,838,1408,565,471,899,603,2036
ENSG00000204361,NXPE2,120406,9,8,12,9,1,10,12,8,6,4,1,4,13,3,9,15,5,1,17,14,11
ENSG00000204362,RP11-380J14.1,400743,0,0,0,0,0,1,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000204363,SPANXN5,494197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204365,C10orf126,283080,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,2,4,0,3,1,1
ENSG00000204366,ZBTB12,221527,45,13,65,11,21,50,8,45,10,41,76,44,43,19,13,39,60,18,30,23,39
