"run","step","sample","reads"
"A01975_24","init_fastqc_221027","T_3_4_L2_R2.fastq.gz",20408278
"A01975_24","init_fastqc_221027","T_3_5_L1_R1.fastq.gz",21725536
"A01975_24","init_fastqc_221027","T_3_5_L1_R2.fastq.gz",21725536
"A01975_24","init_fastqc_221027","T_3_5_L2_R1.fastq.gz",21847977
"A01975_24","init_fastqc_221027","T_3_5_L2_R2.fastq.gz",21847977
"A01975_24","init_fastqc_221027","T_3_6_L1_R1.fastq.gz",24096340
"A01975_24","init_fastqc_221027","T_3_6_L1_R2.fastq.gz",24096340
"A01975_24","init_fastqc_221027","T_3_6_L2_R1.fastq.gz",24237966
"A01975_24","init_fastqc_221027","T_3_6_L2_R2.fastq.gz",24237966
"A01975_24","init_fastqc_221027","T_4_1_L1_R1.fastq.gz",21410707
"A01975_24","init_fastqc_221027","T_4_1_L1_R2.fastq.gz",21410707
"A01975_24","init_fastqc_221027","T_4_1_L2_R1.fastq.gz",21472654
"A01975_24","init_fastqc_221027","T_4_1_L2_R2.fastq.gz",21472654
"A01975_24","init_fastqc_221027","T_4_2_L1_R1.fastq.gz",23176985
"A01975_24","init_fastqc_221027","T_4_2_L1_R2.fastq.gz",23176985
"A01975_24","init_fastqc_221027","T_4_2_L2_R1.fastq.gz",23262329
"A01975_24","init_fastqc_221027","T_4_2_L2_R2.fastq.gz",23262329
"A01975_24","init_fastqc_221027","T_4_3_L1_R1.fastq.gz",24024805
"A01975_24","init_fastqc_221027","T_4_3_L1_R2.fastq.gz",24024805
"A01975_24","init_fastqc_221027","T_4_3_L2_R1.fastq.gz",24109846
"A01975_24","init_fastqc_221027","T_4_3_L2_R2.fastq.gz",24109846
