"run","step","sample","reads"
"A01975_24","trimmed_fastqc_230110","T_3_1_L2_R1.trimmed.fastq.gz",24383360
"A01975_24","trimmed_fastqc_230110","T_3_1_L2_R2.trimmed.fastq.gz",24383360
"A01975_24","trimmed_fastqc_230110","T_3_2_L1_R1.trimmed.fastq.gz",23892723
"A01975_24","trimmed_fastqc_230110","T_3_2_L1_R2.trimmed.fastq.gz",23892723
"A01975_24","trimmed_fastqc_230110","T_3_2_L2_R1.trimmed.fastq.gz",24011586
"A01975_24","trimmed_fastqc_230110","T_3_2_L2_R2.trimmed.fastq.gz",24011586
"A01975_24","trimmed_fastqc_230110","T_3_3_L1_R1.trimmed.fastq.gz",22414704
"A01975_24","trimmed_fastqc_230110","T_3_3_L1_R2.trimmed.fastq.gz",22414704
"A01975_24","trimmed_fastqc_230110","T_3_3_L2_R1.trimmed.fastq.gz",22515179
"A01975_24","trimmed_fastqc_230110","T_3_3_L2_R2.trimmed.fastq.gz",22515179
"A01975_24","trimmed_fastqc_230110","T_3_4_L1_R1.trimmed.fastq.gz",19996683
"A01975_24","trimmed_fastqc_230110","T_3_4_L1_R2.trimmed.fastq.gz",19996683
"A01975_24","trimmed_fastqc_230110","T_3_4_L2_R1.trimmed.fastq.gz",20101147
"A01975_24","trimmed_fastqc_230110","T_3_4_L2_R2.trimmed.fastq.gz",20101147
"A01975_24","trimmed_fastqc_230110","T_3_5_L1_R1.trimmed.fastq.gz",21271126
"A01975_24","trimmed_fastqc_230110","T_3_5_L1_R2.trimmed.fastq.gz",21271126
"A01975_24","trimmed_fastqc_230110","T_3_5_L2_R1.trimmed.fastq.gz",21386209
"A01975_24","trimmed_fastqc_230110","T_3_5_L2_R2.trimmed.fastq.gz",21386209
"A01975_24","trimmed_fastqc_230110","T_3_6_L1_R1.trimmed.fastq.gz",23705745
"A01975_24","trimmed_fastqc_230110","T_3_6_L1_R2.trimmed.fastq.gz",23705745
"A01975_24","trimmed_fastqc_230110","T_3_6_L2_R1.trimmed.fastq.gz",23840839
"A01975_24","trimmed_fastqc_230110","T_3_6_L2_R2.trimmed.fastq.gz",23840839
