"run","step","sample","reads"
"A01975_24","filt_fastqc_230717","T_3_3_L1_R1.filt.fastq.gz",21226038
"A01975_24","filt_fastqc_230717","T_3_3_L1_R2.filt.fastq.gz",21226038
"A01975_24","filt_fastqc_230717","T_3_3_L2_R1.filt.fastq.gz",21320227
"A01975_24","filt_fastqc_230717","T_3_3_L2_R2.filt.fastq.gz",21320227
"A01975_24","filt_fastqc_230717","T_3_4_L1_R1.filt.fastq.gz",19018008
"A01975_24","filt_fastqc_230717","T_3_4_L1_R2.filt.fastq.gz",19018008
"A01975_24","filt_fastqc_230717","T_3_4_L2_R1.filt.fastq.gz",19116214
"A01975_24","filt_fastqc_230717","T_3_4_L2_R2.filt.fastq.gz",19116214
"A01975_24","filt_fastqc_230717","T_3_5_L1_R1.filt.fastq.gz",20280227
"A01975_24","filt_fastqc_230717","T_3_5_L1_R2.filt.fastq.gz",20280227
"A01975_24","filt_fastqc_230717","T_3_5_L2_R1.filt.fastq.gz",20389327
"A01975_24","filt_fastqc_230717","T_3_5_L2_R2.filt.fastq.gz",20389327
"A01975_24","filt_fastqc_230717","T_3_6_L1_R1.filt.fastq.gz",22507174
"A01975_24","filt_fastqc_230717","T_3_6_L1_R2.filt.fastq.gz",22507174
"A01975_24","filt_fastqc_230717","T_3_6_L2_R1.filt.fastq.gz",22629787
"A01975_24","filt_fastqc_230717","T_3_6_L2_R2.filt.fastq.gz",22629787
"A01975_24","filt_fastqc_230717","T_4_1_L1_R1.filt.fastq.gz",20117891
"A01975_24","filt_fastqc_230717","T_4_1_L1_R2.filt.fastq.gz",20117891
"A01975_24","filt_fastqc_230717","T_4_1_L2_R1.filt.fastq.gz",20169879
"A01975_24","filt_fastqc_230717","T_4_1_L2_R2.filt.fastq.gz",20169879
"A01975_24","filt_fastqc_230717","T_4_2_L1_R1.filt.fastq.gz",21732028
"A01975_24","filt_fastqc_230717","T_4_2_L1_R2.filt.fastq.gz",21732028
"A01975_24","filt_fastqc_230717","T_4_2_L2_R1.filt.fastq.gz",21809661
"A01975_24","filt_fastqc_230717","T_4_2_L2_R2.filt.fastq.gz",21809661
"A01975_24","filt_fastqc_230717","T_4_3_L1_R1.filt.fastq.gz",22594404
"A01975_24","filt_fastqc_230717","T_4_3_L1_R2.filt.fastq.gz",22594404
"A01975_24","filt_fastqc_230717","T_4_3_L2_R1.filt.fastq.gz",22669495
"A01975_24","filt_fastqc_230717","T_4_3_L2_R2.filt.fastq.gz",22669495
